model,provider,origin_group,family_group,open_closed,reasoning_profile,notes
gpt-4.1-mini,OpenAI,Western,GPT/o,closed_api,lightweight_general,
gpt-4o,OpenAI,Western,GPT/o,closed_api,general,
gpt-5,OpenAI,Western,GPT/o,closed_api,mixed_or_unknown,Reasoning behavior may be integrated rather than exposed as a separate SKU
gpt-5-mini,OpenAI,Western,GPT/o,closed_api,mixed_or_unknown,Reasoning behavior may be integrated rather than exposed as a separate SKU
gpt-5.2,OpenAI,Western,GPT/o,closed_api,mixed_or_unknown,Reasoning behavior may be integrated rather than exposed as a separate SKU
grok-3-mini,xAI,Western,Grok,closed_api,lightweight_general,
grok-4,xAI,Western,Grok,closed_api,mixed_or_unknown,Reasoning behavior may be integrated rather than exposed as a separate SKU
grok-4-1-fast-non-reasoning,xAI,Western,Grok,closed_api,general,
grok-4-1-fast-reasoning,xAI,Western,Grok,closed_api,reasoning_specialized,
grok-4-fast-non-reasoning,xAI,Western,Grok,closed_api,general,
grok-4-fast-reasoning,xAI,Western,Grok,closed_api,reasoning_specialized,
hunyuan-2.0-instruct-20251111,Tencent,Chinese,Hunyuan,closed_api,general,
hunyuan-2.0-thinking-20251109,Tencent,Chinese,Hunyuan,closed_api,reasoning_specialized,
hunyuan-a13b,Tencent,Chinese,Hunyuan,closed_api,general,
hunyuan-lite,Tencent,Chinese,Hunyuan,closed_api,lightweight_general,
hunyuan-standard,Tencent,Chinese,Hunyuan,closed_api,general,
hunyuan-t1-latest,Tencent,Chinese,Hunyuan,closed_api,general,
hunyuan-turbos-latest,Tencent,Chinese,Hunyuan,closed_api,general,
inclusionAI/Ling-flash-2.0,InclusionAI (Ant-backed),Chinese,Ling / Ring,open_weight,lightweight_general,
inclusionAI/Ling-mini-2.0,InclusionAI (Ant-backed),Chinese,Ling / Ring,open_weight,lightweight_general,
inclusionAI/Ring-flash-2.0,InclusionAI (Ant-backed),Chinese,Ling / Ring,open_weight,lightweight_general,
kimi-k2-0711,Moonshot AI,Chinese,Kimi,closed_api,general,
kimi-k2-thinking,Moonshot AI,Chinese,Kimi,closed_api,reasoning_specialized,
kimi-k2.5,Moonshot AI,Chinese,Kimi,closed_api,general,
llama-3.3-70b,Meta,Western,Llama,open_weight,general,
llama3.1-8b,Meta,Western,Llama,open_weight,general,
minimax-m2.1,MiniMax,Chinese,MiniMax,mixed_or_unknown,lightweight_general,Check deployment mode/open-weight status for this specific variant
minimax-m2.5,MiniMax,Chinese,MiniMax,mixed_or_unknown,lightweight_general,Check deployment mode/open-weight status for this specific variant
o4-mini,OpenAI,Western,GPT/o,closed_api,lightweight_general,
qwen2.5-32b-instruct,Alibaba Cloud,Chinese,Qwen,open_weight,general,
qwen2.5-3b-instruct,Alibaba Cloud,Chinese,Qwen,open_weight,general,
qwen2.5-72b-instruct,Alibaba Cloud,Chinese,Qwen,open_weight,general,
qwen3-max,Alibaba Cloud,Chinese,Qwen,mixed_or_unknown,general,Check deployment mode/open-weight status for this specific variant
qwen3-next-80b-a3b-instruct,Alibaba Cloud,Chinese,Qwen,open_weight,general,
qwen3-next-80b-a3b-thinking,Alibaba Cloud,Chinese,Qwen,open_weight,reasoning_specialized,
qwen3-vl-235b-a22b-instruct,Alibaba Cloud,Chinese,Qwen,open_weight,general,
qwen3-vl-235b-a22b-thinking,Alibaba Cloud,Chinese,Qwen,open_weight,reasoning_specialized,
qwen3-vl-30b-a3b-instruct,Alibaba Cloud,Chinese,Qwen,open_weight,general,
qwen3-vl-30b-a3b-thinking,Alibaba Cloud,Chinese,Qwen,open_weight,reasoning_specialized,
qwen3.5-plus,Alibaba Cloud,Chinese,Qwen,mixed_or_unknown,general,Check deployment mode/open-weight status for this specific variant
